1 SEED
0 INIT_TIME
500000 FIN_TIME
10 ARRIVE_MIN
500 ARRIVE_MAX
0.2 QUIT_PROB
10 CPU_MIN
100 CPU_MAX
10 DISK1_MIN
100 DISK1_MAX
10 DISK2_MIN
100 DISK2_MAX
At time 0, Job 1 enters the CPU.
At time 16108, Job 34 finishes at CPU.
At time 16108, Job 34 arrives at Disk 2.
At time 16485, Job 35 arrives.
At time 16485, Job 35 enters the CPU.
At time 16579, Job 35 finishes at CPU.
At time 16579, Job 35 arrives at Disk 1.
At time 16956, Job 36 arrives.
At time 16956, Job 36 enters the CPU.
At time 17050, Job 36 finishes at CPU.
At time 17050, Job 36 arrives at Disk 2.
At time 17427, Job 37 arrives.
At time 17427, Job 37 enters the CPU.
At time 17521, Job 37 finishes at CPU.
At time 17521, Job 37 arrives at Disk 1.
At time 17898, Job 38 arrives.
At time 17898, Job 38 enters the CPU.
At time 17992, Job 38 finishes at CPU.
At time 17992, Job 38 arrives at Disk 2.
At time 18369, Job 39 arrives.
At time 18369, Job 39 enters the CPU.
At time 18463, Job 39 finishes at CPU.
At time 18463, Job 39 arrives at Disk 2.
At time 18840, Job 40 arrives.
At time 18840, Job 40 enters the CPU.
At time 18934, Job 40 finishes at CPU.
At time 18934, Job 40 arrives at Disk 1.
At time 19311, Job 41 arrives.
At time 19311, Job 41 enters the CPU.
At time 19405, Job 41 finishes at CPU.
At time 19405, Job 41 arrives at Disk 1.
At time 19782, Job 42 arrives.
At time 19782, Job 42 enters the CPU.
At time 19876, Job 42 finishes at CPU.
At time 19876, Job 42 arrives at Disk 2.
At time 20253, Job 43 arrives.
At time 20253, Job 43 enters the CPU.
At time 20347, Job 43 finishes at CPU.
At time 20347, Job 43 arrives at Disk 1.
At time 20724, Job 44 arrives.
At time 20724, Job 44 enters the CPU.
At time 20818, Job 44 finishes at CPU.
At time 20818, Job 44 arrives at Disk 2.
At time 21195, Job 45 arrives.
At time 21195, Job 45 enters the CPU.
At time 21289, Job 45 finishes at CPU.
At time 21289, Job 45 arrives at Disk 1.
At time 21666, Job 46 arrives.
At time 21666, Job 46 enters the CPU.
At time 21760, Job 46 finishes at CPU.
At time 21760, Job 46 arrives at Disk 2.
At time 22137, Job 47 arrives.
At time 22137, Job 47 enters the CPU.
At time 22231, Job 47 finishes at CPU.
At time 22231, Job 47 arrives at Disk 1.
At time 22608, Job 48 arrives.
At time 22608, Job 48 enters the CPU.
At time 22702, Job 48 finishes at CPU.
At time 22702, Job 48 arrives at Disk 2.
At time 23079, Job 49 arrives.
At time 23079, Job 49 enters the CPU.
At time 23173, Job 49 finishes at CPU.
At time 23173, Job 49 arrives at Disk 1.
At time 23550, Job 50 arrives.
At time 23550, Job 50 enters the CPU.
At time 23644, Job 50 finishes at CPU.
At time 23644, Job 50 arrives at Disk 2.
At time 24021, Job 51 arrives.
At time 24021, Job 51 enters the CPU.
At time 24115, Job 51 finishes at CPU.
At time 24115, Job 51 arrives at Disk 1.
At time 24492, Job 52 arrives.
At time 24492, Job 52 enters the CPU.
At time 24586, Job 52 finishes at CPU.
At time 24586, Job 52 arrives at Disk 2.
At time 24963, Job 53 arrives.
At time 24963, Job 53 enters the CPU.
At time 25057, Job 53 finishes at CPU.
At time 25057, Job 53 arrives at Disk 1.
At time 25434, Job 54 arrives.
At time 25434, Job 54 enters the CPU.
At time 25528, Job 54 finishes at CPU.
At time 25528, Job 54 arrives at Disk 2.
At time 25905, Job 55 arrives.
At time 25905, Job 55 enters the CPU.
At time 25999, Job 55 finishes at CPU.
At time 25999, Job 55 arrives at Disk 1.
At time 26376, Job 56 arrives.
At time 26376, Job 56 enters the CPU.
At time 26470, Job 56 finishes at CPU.
At time 26470, Job 56 arrives at Disk 2.
At time 26847, Job 57 arrives.
At time 26847, Job 57 enters the CPU.
At time 26941, Job 57 finishes at CPU.
At time 26941, Job 57 arrives at Disk 1.
At time 27318, Job 58 arrives.
At time 27318, Job 58 enters the CPU.
At time 27412, Job 58 finishes at CPU.
At time 27412, Job 58 arrives at Disk 2.
At time 27789, Job 59 arrives.
At time 27789, Job 59 enters the CPU.
At time 27883, Job 59 finishes at CPU.
At time 27883, Job 59 arrives at Disk 1.
At time 28260, Job 60 arrives.
At time 28260, Job 60 enters the CPU.
At time 28354, Job 60 finishes at CPU.
At time 28354, Job 60 arrives at Disk 2.
At time 28731, Job 61 arrives.
At time 28731, Job 61 enters the CPU.
At time 28825, Job 61 finishes at CPU.
At time 28825, Job 61 arrives at Disk 1.
At time 29202, Job 62 arrives.
At time 29202, Job 62 enters the CPU.
At time 29296, Job 62 finishes at CPU.
At time 29296, Job 62 arrives at Disk 2.
At time 29673, Job 63 arrives.
At time 29673, Job 63 enters the CPU.
At time 29767, Job 63 finishes at CPU.
At time 29767, Job 63 arrives at Disk 1.
At time 30144, Job 64 arrives.
At time 30144, Job 64 enters the CPU.
At time 30238, Job 64 finishes at CPU.
At time 30238, Job 64 arrives at Disk 2.
At time 30615, Job 65 arrives.
At time 30615, Job 65 enters the CPU.
At time 30709, Job 65 finishes at CPU.
At time 30709, Job 65 arrives at Disk 1.
At time 31086, Job 66 arrives.
At time 31086, Job 66 enters the CPU.
At time 31180, Job 66 finishes at CPU.
At time 31180, Job 66 arrives at Disk 2.
At time 31557, Job 67 arrives.
At time 31557, Job 67 enters the CPU.
At time 31651, Job 67 finishes at CPU.
At time 31651, Job 67 arrives at Disk 1.
At time 32028, Job 68 arrives.
At time 32028, Job 68 enters the CPU.
At time 32122, Job 68 finishes at CPU.
At time 32122, Job 68 arrives at Disk 2.
At time 32499, Job 69 arrives.
At time 32499, Job 69 enters the CPU.
At time 32593, Job 69 finishes at CPU.
At time 32593, Job 69 arrives at Disk 1.
At time 32970, Job 70 arrives.
At time 32970, Job 70 enters the CPU.
At time 33064, Job 70 finishes at CPU.
At time 33064, Job 70 arrives at Disk 2.
At time 33441, Job 71 arrives.
At time 33441, Job 71 enters the CPU.
At time 33535, Job 71 finishes at CPU.
At time 33535, Job 71 arrives at Disk 1.
At time 33912, Job 72 arrives.
At time 33912, Job 72 enters the CPU.
At time 34006, Job 72 finishes at CPU.
At time 34006, Job 72 arrives at Disk 2.
At time 34383, Job 73 arrives.
At time 34383, Job 73 enters the CPU.
At time 34477, Job 73 finishes at CPU.
At time 34477, Job 73 arrives at Disk 2.
At time 34854, Job 74 arrives.
At time 34854, Job 74 enters the CPU.
At time 34948, Job 74 finishes at CPU.
At time 34948, Job 74 arrives at Disk 1.
At time 35325, Job 75 arrives.
At time 35325, Job 75 enters the CPU.
At time 35419, Job 75 finishes at CPU.
At time 35419, Job 75 arrives at Disk 1.
At time 35796, Job 76 arrives.
At time 35796, Job 76 enters the CPU.
At time 35890, Job 76 finishes at CPU.
At time 35890, Job 76 arrives at Disk 2.
At time 36267, Job 77 arrives.
At time 36267, Job 77 enters the CPU.
At time 36361, Job 77 finishes at CPU.
At time 36361, Job 77 arrives at Disk 1.
At time 36738, Job 78 arrives.
At time 36738, Job 78 enters the CPU.
At time 36832, Job 78 finishes at CPU.
At time 36832, Job 78 arrives at Disk 2.
At time 37209, Job 79 arrives.
At time 37209, Job 79 enters the CPU.
At time 37303, Job 79 finishes at CPU.
At time 37303, Job 79 arrives at Disk 1.
At time 37680, Job 80 arrives.
At time 37680, Job 80 enters the CPU.
At time 37774, Job 80 finishes at CPU.
At time 37774, Job 80 arrives at Disk 2.
At time 38151, Job 81 arrives.
At time 38151, Job 81 enters the CPU.
At time 38245, Job 81 finishes at CPU.
At time 38245, Job 81 arrives at Disk 1.
At time 38622, Job 82 arrives.
At time 38622, Job 82 enters the CPU.
At time 38716, Job 82 finishes at CPU.
At time 38716, Job 82 arrives at Disk 2.
At time 39093, Job 83 arrives.
At time 39093, Job 83 enters the CPU.
At time 39187, Job 83 finishes at CPU.
At time 39187, Job 83 arrives at Disk 1.
At time 39564, Job 84 arrives.
At time 39564, Job 84 enters the CPU.
At time 39658, Job 84 finishes at CPU.
At time 39658, Job 84 arrives at Disk 2.
At time 40035, Job 85 arrives.
At time 40035, Job 85 enters the CPU.
At time 40129, Job 85 finishes at CPU.
At time 40129, Job 85 arrives at Disk 1.
At time 40506, Job 86 arrives.
At time 40506, Job 86 enters the CPU.
At time 40600, Job 86 finishes at CPU.
At time 40600, Job 86 arrives at Disk 2.
At time 40977, Job 87 arrives.
At time 40977, Job 87 enters the CPU.
At time 41071, Job 87 finishes at CPU.
At time 41071, Job 87 arrives at Disk 1.
At time 41448, Job 88 arrives.
At time 41448, Job 88 enters the CPU.
At time 41542, Job 88 finishes at CPU.
At time 41542, Job 88 arrives at Disk 2.
At time 41919, Job 89 arrives.
At time 41919, Job 89 enters the CPU.
At time 42013, Job 89 finishes at CPU.
At time 42013, Job 89 arrives at Disk 1.
At time 42390, Job 90 arrives.
At time 42390, Job 90 enters the CPU.
At time 42484, Job 90 finishes at CPU.
At time 42484, Job 90 arrives at Disk 2.
At time 42861, Job 91 arrives.
At time 42861, Job 91 enters the CPU.
At time 42955, Job 91 finishes at CPU.
At time 42955, Job 91 arrives at Disk 1.
At time 43332, Job 92 arrives.
At time 43332, Job 92 enters the CPU.
At time 43426, Job 92 finishes at CPU.
At time 43426, Job 92 arrives at Disk 2.
At time 43803, Job 93 arrives.
