1 SEED
0 INIT_TIME
500000 FIN_TIME
10 ARRIVE_MIN
500 ARRIVE_MAX
0.2 QUIT_PROB
10 CPU_MIN
100 CPU_MAX
10 DISK1_MIN
100 DISK1_MAX
10 DISK2_MIN
100 DISK2_MAX
At time 0, Job 1 enters the CPU.
At time 79222, Job 168 arrives at Disk 2.
At time 79599, Job 169 arrives.
At time 79599, Job 169 enters the CPU.
At time 79693, Job 169 finishes at CPU.
At time 79693, Job 169 arrives at Disk 1.
At time 80070, Job 170 arrives.
At time 80070, Job 170 enters the CPU.
At time 80164, Job 170 finishes at CPU.
At time 80164, Job 170 arrives at Disk 2.
At time 80541, Job 171 arrives.
At time 80541, Job 171 enters the CPU.
At time 80635, Job 171 finishes at CPU.
At time 80635, Job 171 arrives at Disk 1.
At time 81012, Job 172 arrives.
At time 81012, Job 172 enters the CPU.
At time 81106, Job 172 finishes at CPU.
At time 81106, Job 172 arrives at Disk 2.
At time 81483, Job 173 arrives.
At time 81483, Job 173 enters the CPU.
At time 81577, Job 173 finishes at CPU.
At time 81577, Job 173 arrives at Disk 1.
At time 81954, Job 174 arrives.
At time 81954, Job 174 enters the CPU.
At time 82048, Job 174 finishes at CPU.
At time 82048, Job 174 arrives at Disk 2.
At time 82425, Job 175 arrives.
At time 82425, Job 175 enters the CPU.
At time 82519, Job 175 finishes at CPU.
At time 82519, Job 175 arrives at Disk 1.
At time 82896, Job 176 arrives.
At time 82896, Job 176 enters the CPU.
At time 82990, Job 176 finishes at CPU.
At time 82990, Job 176 arrives at Disk 2.
At time 83367, Job 177 arrives.
At time 83367, Job 177 enters the CPU.
At time 83461, Job 177 finishes at CPU.
At time 83461, Job 177 arrives at Disk 1.
At time 83838, Job 178 arrives.
At time 83838, Job 178 enters the CPU.
At time 83932, Job 178 finishes at CPU.
At time 83932, Job 178 arrives at Disk 2.
At time 84309, Job 179 arrives.
At time 84309, Job 179 enters the CPU.
At time 84403, Job 179 finishes at CPU.
At time 84403, Job 179 arrives at Disk 1.
At time 84780, Job 180 arrives.
At time 84780, Job 180 enters the CPU.
At time 84874, Job 180 finishes at CPU.
At time 84874, Job 180 arrives at Disk 2.
At time 85251, Job 181 arrives.
At time 85251, Job 181 enters the CPU.
At time 85345, Job 181 finishes at CPU.
At time 85345, Job 181 arrives at Disk 1.
At time 85722, Job 182 arrives.
At time 85722, Job 182 enters the CPU.
At time 85816, Job 182 finishes at CPU.
At time 85816, Job 182 arrives at Disk 2.
At time 86193, Job 183 arrives.
At time 86193, Job 183 enters the CPU.
At time 86287, Job 183 finishes at CPU.
At time 86287, Job 183 arrives at Disk 1.
At time 86664, Job 184 arrives.
At time 86664, Job 184 enters the CPU.
At time 86758, Job 184 finishes at CPU.
At time 86758, Job 184 arrives at Disk 2.
At time 87135, Job 185 arrives.
At time 87135, Job 185 enters the CPU.
At time 87229, Job 185 finishes at CPU.
At time 87229, Job 185 arrives at Disk 1.
At time 87606, Job 186 arrives.
At time 87606, Job 186 enters the CPU.
At time 87700, Job 186 finishes at CPU.
At time 87700, Job 186 arrives at Disk 2.
At time 88077, Job 187 arrives.
At time 88077, Job 187 enters the CPU.
At time 88171, Job 187 finishes at CPU.
At time 88171, Job 187 arrives at Disk 1.
At time 88548, Job 188 arrives.
At time 88548, Job 188 enters the CPU.
At time 88642, Job 188 finishes at CPU.
At time 88642, Job 188 arrives at Disk 2.
At time 89019, Job 189 arrives.
At time 89019, Job 189 enters the CPU.
At time 89113, Job 189 finishes at CPU.
At time 89113, Job 189 arrives at Disk 1.
At time 89490, Job 190 arrives.
At time 89490, Job 190 enters the CPU.
At time 89584, Job 190 finishes at CPU.
At time 89584, Job 190 arrives at Disk 2.
At time 89961, Job 191 arrives.
At time 89961, Job 191 enters the CPU.
At time 90055, Job 191 finishes at CPU.
At time 90055, Job 191 arrives at Disk 1.
At time 90432, Job 192 arrives.
At time 90432, Job 192 enters the CPU.
At time 90526, Job 192 finishes at CPU.
At time 90526, Job 192 arrives at Disk 2.
At time 90903, Job 193 arrives.
At time 90903, Job 193 enters the CPU.
At time 90997, Job 193 finishes at CPU.
At time 90997, Job 193 arrives at Disk 1.
At time 91374, Job 194 arrives.
At time 91374, Job 194 enters the CPU.
At time 91468, Job 194 finishes at CPU.
At time 91468, Job 194 arrives at Disk 2.
At time 91845, Job 195 arrives.
At time 91845, Job 195 enters the CPU.
At time 91939, Job 195 finishes at CPU.
At time 91939, Job 195 arrives at Disk 1.
At time 92316, Job 196 arrives.
At time 92316, Job 196 enters the CPU.
At time 92410, Job 196 finishes at CPU.
At time 92410, Job 196 arrives at Disk 2.
At time 92787, Job 197 arrives.
At time 92787, Job 197 enters the CPU.
At time 92881, Job 197 finishes at CPU.
At time 92881, Job 197 arrives at Disk 1.
At time 93258, Job 198 arrives.
At time 93258, Job 198 enters the CPU.
At time 93352, Job 198 finishes at CPU.
At time 93352, Job 198 arrives at Disk 2.
At time 93729, Job 199 arrives.
At time 93729, Job 199 enters the CPU.
At time 93823, Job 199 finishes at CPU.
At time 93823, Job 199 arrives at Disk 1.
At time 94200, Job 200 arrives.
At time 94200, Job 200 enters the CPU.
At time 94294, Job 200 finishes at CPU.
At time 94294, Job 200 arrives at Disk 2.
At time 94671, Job 201 arrives.
At time 94671, Job 201 enters the CPU.
At time 94765, Job 201 finishes at CPU.
At time 94765, Job 201 arrives at Disk 1.
At time 95142, Job 202 arrives.
At time 95142, Job 202 enters the CPU.
At time 95236, Job 202 finishes at CPU.
At time 95236, Job 202 arrives at Disk 2.
At time 95613, Job 203 arrives.
At time 95613, Job 203 enters the CPU.
At time 95707, Job 203 finishes at CPU.
At time 95707, Job 203 arrives at Disk 1.
At time 96084, Job 204 arrives.
At time 96084, Job 204 enters the CPU.
At time 96178, Job 204 finishes at CPU.
At time 96178, Job 204 arrives at Disk 2.
At time 96555, Job 205 arrives.
At time 96555, Job 205 enters the CPU.
At time 96649, Job 205 finishes at CPU.
At time 96649, Job 205 arrives at Disk 1.
At time 97026, Job 206 arrives.
At time 97026, Job 206 enters the CPU.
At time 97120, Job 206 finishes at CPU.
At time 97120, Job 206 arrives at Disk 2.
At time 97497, Job 207 arrives.
At time 97497, Job 207 enters the CPU.
At time 97591, Job 207 finishes at CPU.
At time 97591, Job 207 arrives at Disk 1.
At time 97968, Job 208 arrives.
At time 97968, Job 208 enters the CPU.
At time 98062, Job 208 finishes at CPU.
At time 98062, Job 208 arrives at Disk 2.
At time 98439, Job 209 arrives.
At time 98439, Job 209 enters the CPU.
At time 98533, Job 209 finishes at CPU.
At time 98533, Job 209 arrives at Disk 1.
At time 98910, Job 210 arrives.
At time 98910, Job 210 enters the CPU.
At time 99004, Job 210 finishes at CPU.
At time 99004, Job 210 arrives at Disk 2.
At time 99381, Job 211 arrives.
At time 99381, Job 211 enters the CPU.
At time 99475, Job 211 finishes at CPU.
At time 99475, Job 211 arrives at Disk 1.
At time 99852, Job 212 arrives.
At time 99852, Job 212 enters the CPU.
At time 99946, Job 212 finishes at CPU.
At time 99946, Job 212 arrives at Disk 2.
At time 100323, Job 213 arrives.
At time 100323, Job 213 enters the CPU.
At time 100417, Job 213 finishes at CPU.
At time 100417, Job 213 arrives at Disk 1.
At time 100794, Job 214 arrives.
At time 100794, Job 214 enters the CPU.
At time 100888, Job 214 finishes at CPU.
At time 100888, Job 214 arrives at Disk 2.
At time 101265, Job 215 arrives.
At time 101265, Job 215 enters the CPU.
At time 101359, Job 215 finishes at CPU.
At time 101359, Job 215 arrives at Disk 1.
At time 101736, Job 216 arrives.
At time 101736, Job 216 enters the CPU.
At time 101830, Job 216 finishes at CPU.
At time 101830, Job 216 arrives at Disk 2.
At time 102207, Job 217 arrives.
At time 102207, Job 217 enters the CPU.
At time 102301, Job 217 finishes at CPU.
At time 102301, Job 217 arrives at Disk 1.
At time 102678, Job 218 arrives.
At time 102678, Job 218 enters the CPU.
At time 102772, Job 218 finishes at CPU.
At time 102772, Job 218 arrives at Disk 2.
At time 103149, Job 219 arrives.
At time 103149, Job 219 enters the CPU.
At time 103243, Job 219 finishes at CPU.
At time 103243, Job 219 arrives at Disk 1.
At time 103620, Job 220 arrives.
At time 103620, Job 220 enters the CPU.
At time 103714, Job 220 finishes at CPU.
At time 103714, Job 220 arrives at Disk 2.
At time 104091, Job 221 arrives.
At time 104091, Job 221 enters the CPU.
At time 104185, Job 221 finishes at CPU.
At time 104185, Job 221 arrives at Disk 1.
At time 104562, Job 222 arrives.
At time 104562, Job 222 enters the CPU.
At time 104656, Job 222 finishes at CPU.
At time 104656, Job 222 arrives at Disk 2.
At time 105033, Job 223 arrives.
At time 105033, Job 223 enters the CPU.
At time 105127, Job 223 finishes at CPU.
At time 105127, Job 223 arrives at Disk 1.
At time 105504, Job 224 arrives.
At time 105504, Job 224 enters the CPU.
At time 105598, Job 224 finishes at CPU.
At time 105598, Job 224 arrives at Disk 2.
At time 105975, Job 225 arrives.
At time 105975, Job 225 enters the CPU.
At time 106069, Job 225 finishes at CPU.
At time 106069, Job 225 arrives at Disk 1.
At time 106446, Job 226 arrives.
At time 106446, Job 226 enters the CPU.
At time 106540, Job 226 finishes at CPU.
At time 106540, Job 226 arrives at Disk 2.
At time 106917, Job 227 arrives.
At time 106917, Job 227 enters the CPU.
At time 107011, Job 227 finishes at CPU.
At time 107011, Job 227 arrives at Disk 1.
At time 107388, Job 228 arrives.
At time 107388, Job 228 enters the CPU.
At time 107482, Job 228 finishes at CPU.
At time 107482, Job 228 arrives at Disk 2.
At time 107859, Job 229 arrives.
At time 107859, Job 229 enters the CPU.
At time 107953, Job 229 finishes at CPU.
At time 107953, Job 229 arrives at Disk 1.
At time 108330, Job 230 arrives.
At time 108330, Job 230 enters the CPU.
At time 108424, Job 230 finishes at CPU.
At time 108424, Job 230 arrives at Disk 2.
At time 108801, Job 231 arrives.
At time 108801, Job 231 enters the CPU.
At time 108895, Job 231 finishes at CPU.
At time 108895, Job 231 arrives at Disk 1.
At time 109272, Job 232 arrives.
At time 109272, Job 232 enters the CPU.
At time 109366, Job 232 finishes at CPU.
At time 109366, Job 232 arrives at Disk 2.
At time 109743, Job 233 arrives.
At time 109743, Job 233 enters the CPU.
At time 109837, Job 233 finishes at CPU.
At time 109837, Job 233 arrives at Disk 1.
At time 110214, Job 234 arrives.
At time 110214, Job 234 enters the CPU.
At time 110308, Job 234 finishes at CPU.
At time 110308, Job 234 arrives at Disk 2.
At time 110685, Job 235 arrives.
At time 110685, Job 235 enters the CPU.
At time 110779, Job 235 finishes at CPU.
At time 110779, Job 235 arrives at Disk 1.
At time 111156, Job 236 arrives.
At time 111156, Job 236 enters the CPU.
At time 111250, Job 236 finishes at CPU.
At time 111250, Job 236 arrives at Disk 2.
At time 111627, Job 237 arrives.
At time 111627, Job 237 enters the CPU.
At time 111721, Job 237 finishes at CPU.
At time 111721, Job 237 arrives at Disk 1.
At time 112098, Job 238 arrives.
At time 112098, Job 238 enters the CPU.
At time 112192, Job 238 finishes at CPU.
At time 112192, Job 238 arrives at Disk 2.
At time 112569, Job 239 arrives.
At time 112569, Job 239 enters the CPU.
At time 112663, Job 239 finishes at CPU.
At time 112663, Job 239 arrives at Disk 1.
At time 113040, Job 240 arrives.
At time 113040, Job 240 enters the CPU.
At time 113134, Job 240 finishes at CPU.
At time 113134, Job 240 arrives at Disk 2.
At time 113511, Job 241 arrives.
At time 113511, Job 241 enters the CPU.
At time 113605, Job 241 finishes at CPU.
At time 113605, Job 241 arrives at Disk 1.
At time 113982, Job 242 arrives.
At time 113982, Job 242 enters the CPU.
At time 114076, Job 242 finishes at CPU.
At time 114076, Job 242 arrives at Disk 2.
At time 114453, Job 243 arrives.
At time 114453, Job 243 enters the CPU.
At time 114547, Job 243 finishes at CPU.
At time 114547, Job 243 arrives at Disk 1.
At time 114924, Job 244 arrives.
At time 114924, Job 244 enters the CPU.
At time 115018, Job 244 finishes at CPU.
At time 115018, Job 244 arrives at Disk 2.
At time 115395, Job 245 arrives.
At time 115395, Job 245 enters the CPU.
At time 115489, Job 245 finishes at CPU.
At time 115489, Job 245 arrives at Disk 1.
At time 115866, Job 246 arrives.
At time 115866, Job 246 enters the CPU.
At time 115960, Job 246 finishes at CPU.
At time 115960, Job 246 arrives at Disk 2.
At time 116337, Job 247 arrives.
At time 116337, Job 247 enters the CPU.
At time 116431, Job 247 finishes at CPU.
At time 116431, Job 247 arrives at Disk 1.
At time 116808, Job 248 arrives.
At time 116808, Job 248 enters the CPU.
At time 116902, Job 248 finishes at CPU.
At time 116902, Job 248 arrives at Disk 2.
At time 117279, Job 249 arrives.
At time 117279, Job 249 enters the CPU.
At time 117373, Job 249 finishes at CPU.
At time 117373, Job 249 arrives at Disk 1.
At time 117750, Job 250 arrives.
At time 117750, Job 250 enters the CPU.
At time 117844, Job 250 finishes at CPU.
At time 117844, Job 250 arrives at Disk 2.
At time 118221, Job 251 arrives.
At time 118221, Job 251 enters the CPU.
At time 118315, Job 251 finishes at CPU.
At time 118315, Job 251 arrives at Disk 1.
At time 118692, Job 252 arrives.
At time 118692, Job 252 enters the CPU.
At time 118786, Job 252 finishes at CPU.
At time 118786, Job 252 arrives at Disk 2.
At time 119163, Job 253 arrives.
At time 119163, Job 253 enters the CPU.
At time 119257, Job 253 finishes at CPU.
At time 119257, Job 253 arrives at Disk 1.
At time 119634, Job 254 arrives.
At time 119634, Job 254 enters the CPU.
At time 119728, Job 254 finishes at CPU.
At time 119728, Job 254 arrives at Disk 2.
At time 120105, Job 255 arrives.
At time 120105, Job 255 enters the CPU.
At time 120199, Job 255 finishes at CPU.
At time 120199, Job 255 arrives at Disk 1.
At time 120576, Job 256 arrives.
At time 120576, Job 256 enters the CPU.
At time 120670, Job 256 finishes at CPU.
At time 120670, Job 256 arrives at Disk 2.
At time 121047, Job 257 arrives.
At time 121047, Job 257 enters the CPU.
At time 121141, Job 257 finishes at CPU.
At time 121141, Job 257 arrives at Disk 1.
At time 121518, Job 258 arrives.
At time 121518, Job 258 enters the CPU.
At time 121612, Job 258 finishes at CPU.
At time 121612, Job 258 arrives at Disk 2.
At time 121989, Job 259 arrives.
At time 121989, Job 259 enters the CPU.
At time 122083, Job 259 finishes at CPU.
At time 122083, Job 259 arrives at Disk 1.
At time 122460, Job 260 arrives.
At time 122460, Job 260 enters the CPU.
At time 122554, Job 260 finishes at CPU.
At time 122554, Job 260 arrives at Disk 2.
At time 122931, Job 261 arrives.
At time 122931, Job 261 enters the CPU.
At time 123025, Job 261 finishes at CPU.
At time 123025, Job 261 arrives at Disk 1.
At time 123402, Job 262 arrives.
At time 123402, Job 262 enters the CPU.
At time 123496, Job 262 finishes at CPU.
At time 123496, Job 262 arrives at Disk 2.
At time 123873, Job 263 arrives.
At time 123873, Job 263 enters the CPU.
At time 123967, Job 263 finishes at CPU.
At time 123967, Job 263 arrives at Disk 1.
At time 124344, Job 264 arrives.
At time 124344, Job 264 enters the CPU.
At time 124438, Job 264 finishes at CPU.
At time 124438, Job 264 arrives at Disk 2.
At time 124815, Job 265 arrives.
At time 124815, Job 265 enters the CPU.
At time 124909, Job 265 finishes at CPU.
At time 124909, Job 265 arrives at Disk 1.
At time 125286, Job 266 arrives.
At time 125286, Job 266 enters the CPU.
At time 125380, Job 266 finishes at CPU.
At time 125380, Job 266 arrives at Disk 2.
At time 125757, Job 267 arrives.
At time 125757, Job 267 enters the CPU.
At time 125851, Job 267 finishes at CPU.
At time 125851, Job 267 arrives at Disk 1.
At time 126228, Job 268 arrives.
At time 126228, Job 268 enters the CPU.
At time 126322, Job 268 finishes at CPU.
At time 126322, Job 268 arrives at Disk 2.
At time 126699, Job 269 arrives.
At time 126699, Job 269 enters the CPU.
At time 126793, Job 269 finishes at CPU.
At time 126793, Job 269 arrives at Disk 2.
At time 127170, Job 270 arrives.
At time 127170, Job 270 enters the CPU.
At time 127264, Job 270 finishes at CPU.
At time 127264, Job 270 arrives at Disk 1.
At time 127641, Job 271 arrives.
At time 127641, Job 271 enters the CPU.
At time 127735, Job 271 finishes at CPU.
At time 127735, Job 271 arrives at Disk 1.
At time 128112, Job 272 arrives.
At time 128112, Job 272 enters the CPU.
At time 128206, Job 272 finishes at CPU.
At time 128206, Job 272 arrives at Disk 2.
At time 128583, Job 273 arrives.
At time 128583, Job 273 enters the CPU.
At time 128677, Job 273 finishes at CPU.
At time 128677, Job 273 arrives at Disk 1.
At time 129054, Job 274 arrives.
At time 129054, Job 274 enters the CPU.
At time 129148, Job 274 finishes at CPU.
At time 129148, Job 274 arrives at Disk 2.
At time 129525, Job 275 arrives.
At time 129525, Job 275 enters the CPU.
At time 129619, Job 275 finishes at CPU.
At time 129619, Job 275 arrives at Disk 1.
At time 129996, Job 276 arrives.
At time 129996, Job 276 enters the CPU.
At time 130090, Job 276 finishes at CPU.
At time 130090, Job 276 arrives at Disk 2.
At time 130467, Job 277 arrives.
At time 130467, Job 277 enters the CPU.
At time 130561, Job 277 finishes at CPU.
At time 130561, Job 277 arrives at Disk 1.
At time 130938, Job 278 arrives.
At time 130938, Job 278 enters the CPU.
At time 131032, Job 278 finishes at CPU.
At time 131032, Job 278 arrives at Disk 2.
At time 131409, Job 279 arrives.
At time 131409, Job 279 enters the CPU.
At time 131503, Job 279 finishes at CPU.
At time 131503, Job 279 arrives at Disk 1.
At time 131880, Job 280 arrives.
At time 131880, Job 280 enters the CPU.
At time 131974, Job 280 finishes at CPU.
At time 131974, Job 280 arrives at Disk 2.
At time 132351, Job 281 arrives.
At time 132351, Job 281 enters the CPU.
At time 132445, Job 281 finishes at CPU.
At time 132445, Job 281 arrives at Disk 1.
At time 132822, Job 282 arrives.
At time 132822, Job 282 enters the CPU.
At time 132916, Job 282 finishes at CPU.
At time 132916, Job 282 arrives at Disk 2.
At time 133293, Job 283 arrives.
At time 133293, Job 283 enters the CPU.
At time 133387, Job 283 finishes at CPU.
At time 133387, Job 283 arrives at Disk 1.
At time 133764, Job 284 arrives.
At time 133764, Job 284 enters the CPU.
At time 133858, Job 284 finishes at CPU.
At time 133858, Job 284 arrives at Disk 2.
At time 134235, Job 285 arrives.
At time 134235, Job 285 enters the CPU.
At time 134329, Job 285 finishes at CPU.
At time 134329, Job 285 arrives at Disk 1.
At time 134706, Job 286 arrives.
At time 134706, Job 286 enters the CPU.
At time 134800, Job 286 finishes at CPU.
At time 134800, Job 286 arrives at Disk 2.
At time 135177, Job 287 arrives.
At time 135177, Job 287 enters the CPU.
At time 135271, Job 287 finishes at CPU.
At time 135271, Job 287 arrives at Disk 1.
At time 135648, Job 288 arrives.
At time 135648, Job 288 enters the CPU.
At time 135742, Job 288 finishes at CPU.
At time 135742, Job 288 arrives at Disk 2.
At time 136119, Job 289 arrives.
At time 136119, Job 289 enters the CPU.
At time 136213, Job 289 finishes at CPU.
At time 136213, Job 289 arrives at Disk 1.
At time 136590, Job 290 arrives.
At time 136590, Job 290 enters the CPU.
At time 136684, Job 290 finishes at CPU.
At time 136684, Job 290 arrives at Disk 2.
At time 137061, Job 291 arrives.
At time 137061, Job 291 enters the CPU.
At time 137155, Job 291 finishes at CPU.
At time 137155, Job 291 arrives at Disk 1.
At time 137532, Job 292 arrives.
At time 137532, Job 292 enters the CPU.
At time 137626, Job 292 finishes at CPU.
At time 137626, Job 292 arrives at Disk 2.
At time 138003, Job 293 arrives.
At time 138003, Job 293 enters the CPU.
At time 138097, Job 293 finishes at CPU.
At time 138097, Job 293 arrives at Disk 1.
At time 138474, Job 294 arrives.
At time 138474, Job 294 enters the CPU.
At time 138568, Job 294 finishes at CPU.
At time 138568, Job 294 arrives at Disk 2.
At time 138945, Job 295 arrives.
At time 138945, Job 295 enters the CPU.
At time 139039, Job 295 finishes at CPU.
At time 139039, Job 295 arrives at Disk 1.
At time 139416, Job 296 arrives.
At time 139416, Job 296 enters the CPU.
At time 139510, Job 296 finishes at CPU.
At time 139510, Job 296 arrives at Disk 2.
At time 139887, Job 297 arrives.
At time 139887, Job 297 enters the CPU.
At time 139981, Job 297 finishes at CPU.
At time 139981, Job 297 arrives at Disk 1.
At time 140358, Job 298 arrives.
At time 140358, Job 298 enters the CPU.
At time 140452, Job 298 finishes at CPU.
At time 140452, Job 298 arrives at Disk 2.
At time 140829, Job 299 arrives.
At time 140829, Job 299 enters the CPU.
At time 140923, Job 299 finishes at CPU.
At time 140923, Job 299 arrives at Disk 1.
At time 141300, Job 300 arrives.
At time 141300, Job 300 enters the CPU.
At time 141394, Job 300 finishes at CPU.
At time 141394, Job 300 arrives at Disk 2.
At time 141771, Job 301 arrives.
At time 141771, Job 301 enters the CPU.
At time 141865, Job 301 finishes at CPU.
At time 141865, Job 301 arrives at Disk 1.
At time 142242, Job 302 arrives.
At time 142242, Job 302 enters the CPU.
At time 142336, Job 302 finishes at CPU.
At time 142336, Job 302 arrives at Disk 2.
At time 142713, Job 303 arrives.
At time 142713, Job 303 enters the CPU.
At time 142807, Job 303 finishes at CPU.
At time 142807, Job 303 arrives at Disk 1.
At time 143184, Job 304 arrives.
At time 143184, Job 304 enters the CPU.
At time 143278, Job 304 finishes at CPU.
At time 143278, Job 304 arrives at Disk 2.
At time 143655, Job 305 arrives.
At time 143655, Job 305 enters the CPU.
At time 143749, Job 305 finishes at CPU.
At time 143749, Job 305 arrives at Disk 1.
At time 144126, Job 306 arrives.
At time 144126, Job 306 enters the CPU.
At time 144220, Job 306 finishes at CPU.
At time 144220, Job 306 arrives at Disk 2.
At time 144597, Job 307 arrives.
At time 144597, Job 307 enters the CPU.
At time 144691, Job 307 finishes at CPU.
At time 144691, Job 307 arrives at Disk 1.
At time 145068, Job 308 arrives.
At time 145068, Job 308 enters the CPU.
At time 145162, Job 308 finishes at CPU.
At time 145162, Job 308 arrives at Disk 2.
At time 145539, Job 309 arrives.
At time 145539, Job 309 enters the CPU.
At time 145633, Job 309 finishes at CPU.
At time 145633, Job 309 arrives at Disk 1.
At time 146010, Job 310 arrives.
At time 146010, Job 310 enters the CPU.
At time 146104, Job 310 finishes at CPU.
At time 146104, Job 310 arrives at Disk 2.
At time 146481, Job 311 arrives.
At time 146481, Job 311 enters the CPU.
At time 146575, Job 311 finishes at CPU.
At time 146575, Job 311 arrives at Disk 1.
At time 146952, Job 312 arrives.
At time 146952, Job 312 enters the CPU.
At time 147046, Job 312 finishes at CPU.
At time 147046, Job 312 arrives at Disk 2.
At time 147423, Job 313 arrives.
At time 147423, Job 313 enters the CPU.
At time 147517, Job 313 finishes at CPU.
At time 147517, Job 313 arrives at Disk 1.
At time 147894, Job 314 arrives.
At time 147894, Job 314 enters the CPU.
At time 147988, Job 314 finishes at CPU.
At time 147988, Job 314 arrives at Disk 2.
At time 148365, Job 315 arrives.
At time 148365, Job 315 enters the CPU.
At time 148459, Job 315 finishes at CPU.
At time 148459, Job 315 arrives at Disk 1.
At time 148836, Job 316 arrives.
At time 148836, Job 316 enters the CPU.
At time 148930, Job 316 finishes at CPU.
At time 148930, Job 316 arrives at Disk 2.
At time 149307, Job 317 arrives.
At time 149307, Job 317 enters the CPU.
At time 149401, Job 317 finishes at CPU.
At time 149401, Job 317 arrives at Disk 1.
At time 149778, Job 318 arrives.
At time 149778, Job 318 enters the CPU.
At time 149872, Job 318 finishes at CPU.
At time 149872, Job 318 arrives at Disk 2.
At time 150249, Job 319 arrives.
At time 150249, Job 319 enters the CPU.
At time 150343, Job 319 finishes at CPU.
At time 150343, Job 319 arrives at Disk 1.
At time 150720, Job 320 arrives.
At time 150720, Job 320 enters the CPU.
At time 150814, Job 320 finishes at CPU.
At time 150814, Job 320 arrives at Disk 2.
At time 151191, Job 321 arrives.
At time 151191, Job 321 enters the CPU.
At time 151285, Job 321 finishes at CPU.
At time 151285, Job 321 arrives at Disk 1.
At time 151662, Job 322 arrives.
At time 151662, Job 322 enters the CPU.
At time 151756, Job 322 finishes at CPU.
At time 151756, Job 322 arrives at Disk 2.
At time 152133, Job 323 arrives.
At time 152133, Job 323 enters the CPU.
At time 152227, Job 323 finishes at CPU.
At time 152227, Job 323 arrives at Disk 1.
At time 152604, Job 324 arrives.
At time 152604, Job 324 enters the CPU.
At time 152698, Job 324 finishes at CPU.
At time 152698, Job 324 arrives at Disk 2.
At time 153075, Job 325 arrives.
At time 153075, Job 325 enters the CPU.
At time 153169, Job 325 finishes at CPU.
At time 153169, Job 325 arrives at Disk 1.
At time 153546, Job 326 arrives.
At time 153546, Job 326 enters the CPU.
At time 153640, Job 326 finishes at CPU.
At time 153640, Job 326 arrives at Disk 2.
At time 154017, Job 327 arrives.
At time 154017, Job 327 enters the CPU.
At time 154111, Job 327 finishes at CPU.
At time 154111, Job 327 arrives at Disk 1.
At time 154488, Job 328 arrives.
At time 154488, Job 328 enters the CPU.
At time 154582, Job 328 finishes at CPU.
At time 154582, Job 328 arrives at Disk 2.
At time 154959, Job 329 arrives.
At time 154959, Job 329 enters the CPU.
At time 155053, Job 329 finishes at CPU.
At time 155053, Job 329 arrives at Disk 1.
At time 155430, Job 330 arrives.
At time 155430, Job 330 enters the CPU.
At time 155524, Job 330 finishes at CPU.
At time 155524, Job 330 arrives at Disk 2.
At time 155901, Job 331 arrives.
At time 155901, Job 331 enters the CPU.
At time 155995, Job 331 finishes at CPU.
At time 155995, Job 331 arrives at Disk 1.
At time 156372, Job 332 arrives.
At time 156372, Job 332 enters the CPU.
At time 156466, Job 332 finishes at CPU.
At time 156466, Job 332 arrives at Disk 2.
At time 156843, Job 333 arrives.
At time 156843, Job 333 enters the CPU.
At time 156937, Job 333 finishes at CPU.
At time 156937, Job 333 arrives at Disk 1.
At time 157314, Job 334 arrives.
At time 157314, Job 334 enters the CPU.
At time 157408, Job 334 finishes at CPU.
At time 157408, Job 334 arrives at Disk 2.
At time 157785, Job 335 arrives.
At time 157785, Job 335 enters the CPU.
At time 157879, Job 335 finishes at CPU.
At time 157879, Job 335 arrives at Disk 1.
At time 158256, Job 336 arrives.
At time 158256, Job 336 enters the CPU.
At time 158350, Job 336 finishes at CPU.
At time 158350, Job 336 arrives at Disk 2.
At time 158727, Job 337 arrives.
At time 158727, Job 337 enters the CPU.
At time 158821, Job 337 finishes at CPU.
At time 158821, Job 337 arrives at Disk 1.
At time 159198, Job 338 arrives.
At time 159198, Job 338 enters the CPU.
At time 159292, Job 338 finishes at CPU.
At time 159292, Job 338 arrives at Disk 2.
At time 159669, Job 339 arrives.
At time 159669, Job 339 enters the CPU.
At time 159763, Job 339 finishes at CPU.
At time 159763, Job 339 arrives at Disk 1.
At time 160140, Job 340 arrives.
At time 160140, Job 340 enters the CPU.
At time 160234, Job 340 finishes at CPU.
At time 160234, Job 340 arrives at Disk 2.
At time 160611, Job 341 arrives.
At time 160611, Job 341 enters the CPU.
At time 160705, Job 341 finishes at CPU.
At time 160705, Job 341 arrives at Disk 1.
At time 161082, Job 342 arrives.
At time 161082, Job 342 enters the CPU.
At time 161176, Job 342 finishes at CPU.
At time 161176, Job 342 arrives at Disk 2.
At time 161553, Job 343 arrives.
At time 161553, Job 343 enters the CPU.
At time 161647, Job 343 finishes at CPU.
At time 161647, Job 343 arrives at Disk 1.
At time 162024, Job 344 arrives.
At time 162024, Job 344 enters the CPU.
At time 162118, Job 344 finishes at CPU.
At time 162118, Job 344 arrives at Disk 2.
At time 162495, Job 345 arrives.
At time 162495, Job 345 enters the CPU.
At time 162589, Job 345 finishes at CPU.
At time 162589, Job 345 arrives at Disk 1.
At time 162966, Job 346 arrives.
At time 162966, Job 346 enters the CPU.
At time 163060, Job 346 finishes at CPU.
At time 163060, Job 346 arrives at Disk 2.
At time 163437, Job 347 arrives.
At time 163437, Job 347 enters the CPU.
At time 163531, Job 347 finishes at CPU.
At time 163531, Job 347 arrives at Disk 1.
At time 163908, Job 348 arrives.
At time 163908, Job 348 enters the CPU.
